# TM102 capture — label=general-timed port=/dev/cu.usbserial-0001 started=20260826-132002
locked RF_CH 50 (2450 MHz)

Addressed capture: 5-byte address 18 18 18 18 3A, CRC off.
Every line below matched all 40 address bits in hardware.
Byte 0 is payload p0. Press x to stop.

[CH: 50] LEN: 12 | HEX: F9 77 F4 FD FE 73 DF FD 25 1C BF BF | T:16987 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 DA FE FA 70 FE FE 92 9C BB FF | T:16999 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FA FD FF 73 FD EB 25 1C AD F6 | T:16999 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 FA F6 F6 70 FF 5F 92 9E AD FF | T:17010 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 BA FE FE 70 FE FD 92 9C AE FF | T:17010 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 F4 FD FD 73 FB F6 A5 1C BD FF | T:17022 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 BE FE FE 70 FD FA 92 9E BF FD | T:17022 RPD:0
[CH: 50] LEN: 12 | HEX: F1 77 DC FD FE 73 BA FD A5 1C BF BF | T:17033 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 FA FC FE 70 EF 7E 92 9C AF F7 | T:17045 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 DE F5 EE 73 FD FF 25 1C BF F6 | T:17045 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 FA F5 DE 73 FE BE 25 1C AF FB | T:17056 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 F6 FD FD 73 DE F7 25 1C AD FF | T:17056 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 F4 FE FE 70 EB FD 12 9E AE FD | T:17068 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 EA FD FE 73 FB F7 25 1C BD 7E | T:17068 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 DA FE EA 70 EF FE 92 9E AF FF | T:17079 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 FC FD EC 73 FD FB 25 1C BF FD | T:17090 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 FA F6 EE 70 FE FF 92 9C AF F7 | T:17091 RPD:0
[CH: 50] LEN: 12 | HEX: E9 77 FA FD FD 73 FD EB 25 1C BF EF | T:17102 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 BE F9 D4 73 EF FD 25 1C BF FB | T:17102 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 F4 F6 FE 70 F7 7E 92 9E AA EF | T:17114 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 EA FE FE 70 FF 7E 92 9E AF FF | T:17114 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 FA F5 ED 73 BB EF 25 1C AE FF | T:17125 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 76 F5 F6 60 FD 7B 52 9C AF B6 | T:17136 RPD:1
[CH: 50] LEN: 12 | HEX: ED 77 7E F5 ED 73 FB F7 25 1C AF FF | T:17137 RPD:0
[CH: 50] LEN: 12 | HEX: ED 77 FA FE FE 70 FE FF 92 9C AE FF | T:17148 RPD:1
