# TM102 live session port=/dev/cu.usbserial-0001 started=20260826-153939
[CH: 50] LEN: 12 | HEX: F9 77 F6 F7 F4 75 93 FF 14 76 BF FF | T:8383716 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 7E E9 DE 7F 13 DB 3A 9D BF FF | T:8383727 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 F6 F0 FD 76 93 F7 A3 BC BB FF | T:8383727 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 DE FB DA 75 93 FD 14 7E BF FA | T:8383738 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 FE E7 EE 75 93 DF EA 34 BF 7B | T:8383739 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 EA F6 FD 78 93 DD DC D9 AD ED | T:8383750 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 F6 FD FC 7B 93 FB 6B 5B BF D7 | T:8383761 RPD:0
[CH: 50] LEN: 12 | HEX: E9 77 F6 F4 FE 72 93 FB FE 36 B7 FE | T:8383761 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 B6 FD FE 70 93 F7 DC D9 BB 7F | T:8383773 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 F6 ED DF 73 93 FB 6B 5B BF 7F | T:8383773 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 FA FB BE 75 93 DD 14 7E BF BB | T:8383784 RPD:0
[CH: 50] LEN: 12 | HEX: F1 77 FE F9 D7 77 53 DD 3E 9D BF DF | T:8383785 RPD:0
[CH: 50] LEN: 12 | HEX: E9 77 BE E8 ED 76 93 BF A3 F8 BF EE | T:8383796 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 FA FE FD 70 93 BF DC D9 BF ED | T:8383807 RPD:0
[CH: 50] LEN: 12 | HEX: F5 77 7E FD DE 73 D3 55 6B 5B BF 7E | T:8383807 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 FE FA FD 74 93 DF 89 1D BD EF | T:8383819 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 F6 FE EE 70 93 7F FC D9 BF FF | T:8383819 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 FE F5 DD 73 93 DF 6B 5B BF EE | T:8383830 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 EE F1 DC 77 D3 FB 3A 9D BB FD | T:8383842 RPD:1
[CH: 50] LEN: 12 | HEX: FD 77 76 E8 FE 76 93 AF A3 FC AF FF | T:8383842 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 B6 EF F6 75 93 DF FA 34 BF BF | T:8383853 RPD:1
[CH: 50] LEN: 12 | HEX: ED 77 F6 EB BE 75 93 FB 14 7E BF F7 | T:8383853 RPD:0
[CH: 50] LEN: 12 | HEX: F9 7F FE FA FF 74 93 FF 89 1F FB F7 | T:8383865 RPD:1
[CH: 50] LEN: 12 | HEX: F5 77 BE F7 FE 75 93 FD EA 34 B7 BF | T:8383865 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 FE FD EE 70 93 AF DC D9 BE DF | T:8383876 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 F6 FB BA 75 93 BF 14 74 BF 7F | T:8383888 RPD:1
[CH: 50] LEN: 12 | HEX: FD 77 BA FA FD 74 93 FF 89 1F 7D F7 | T:8383888 RPD:0
[CH: 50] LEN: 12 | HEX: E9 77 BC F7 F6 75 B3 B7 FA 34 BA FF | T:8383899 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 7A FC FF 72 93 FB EE 3A B7 FF | T:8383899 RPD:0
