# TM102 live session port=/dev/cu.usbserial-0001 started=20260826-154512
[CH: 50] LEN: 12 | HEX: F9 77 BE FA FE 70 91 FF 7A BB BE EF | T:8717124 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 BB F9 F6 73 91 FF 0D 39 BF FF | T:8717124 RPD:0
[CH: 50] LEN: 12 | HEX: F1 77 FE F3 FE 75 91 EE F2 1C B7 FF | T:8717135 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FE F7 FE 79 91 FF CC 56 BD EF | T:8717136 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 FB F6 FE 70 91 EF 7A BB BF FF | T:8717147 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 FE F3 FC 75 91 F7 72 1C BF F7 | T:8717147 RPD:0
[CH: 50] LEN: 12 | HEX: F1 77 F5 FA FE 74 91 FF 6F 79 AF F7 | T:8717159 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FD F7 FD 79 91 FF CC 56 AF FF | T:8717170 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 BA FE F6 78 91 FF BA BB AF D5 | T:8717170 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 FC FB FE 75 91 FE 72 1C BB ED | T:8717181 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 DD E8 FE 76 91 FF 45 9E BF FF | T:8717182 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 BD F7 DD 79 91 FE CC 56 B6 FF | T:8717193 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 DC FC FE 72 91 F5 10 58 AF FB | T:8717204 RPD:1
