# TM102 capture — label=buzz-2 port=/dev/cu.usbserial-0001 started=20260826-133344
[CH: 50] LEN: 12 | HEX: F5 77 F4 FD FE 73 95 FE C1 FD BF EF | T:827218 RPD:0
[CH: 50] LEN: 12 | HEX: F9 77 AF 00 00 71 95 FE 89 06 BA DF | T:827243 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 BA 00 00 71 95 DD 49 06 BF DF | T:827243 RPD:1
[CH: 50] LEN: 12 | HEX: F0 6D FD 00 F6 FD 96 FF 6C 9D BF FB | T:827273 RPD:1
[CH: 50] LEN: 12 | HEX: E8 6D FF 80 FE FD 96 FF 6C 9E BF FF | T:827274 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 F5 00 00 71 96 FF 5C 55 BF AF | T:827543 RPD:1
[CH: 50] LEN: 12 | HEX: E9 77 BF 00 00 71 96 F5 5C 55 BF DF | T:827543 RPD:1
[CH: 50] LEN: 12 | HEX: F8 6D EE 00 EE ED 96 EB 6C 9F B7 7F | T:827574 RPD:1
[CH: 50] LEN: 12 | HEX: F1 77 EF 00 00 71 96 F6 9C 55 BE AD | T:827843 RPD:1
[CH: 50] LEN: 12 | HEX: F0 6D EF 00 FF F5 96 F7 6C 9D BF BE | T:827873 RPD:1
[CH: 50] LEN: 12 | HEX: E8 6D ED 00 FD ED 96 EF 6C 9D BB ED | T:827874 RPD:1
[CH: 50] LEN: 12 | HEX: F5 7F 7B 00 00 71 96 FF 9C 55 BE B5 | T:828143 RPD:1
[CH: 50] LEN: 12 | HEX: F8 6D DF 00 FF F5 96 FF 6C 9F BF BF | T:828173 RPD:1
[CH: 50] LEN: 12 | HEX: E8 6D FE 80 FC FB 96 FE 6C 9F B7 CF | T:828173 RPD:1
[CH: 50] LEN: 12 | HEX: F9 77 77 00 00 71 96 F7 1C 55 BF FF | T:828442 RPD:1
[CH: 50] LEN: 12 | HEX: E8 6D DF 00 FE ED 96 F7 6C 9D BF 5F | T:828472 RPD:1
[CH: 50] LEN: 12 | HEX: F2 76 FF 00 8C ED 96 DF 30 78 BE FF | T:828506 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 FE 80 8C E9 96 D5 30 78 BB F9 | T:828507 RPD:1
[CH: 50] LEN: 12 | HEX: FA 6E EA ED 70 F5 96 EE BB 83 BF DB | T:828541 RPD:0
[CH: 50] LEN: 12 | HEX: F6 76 FE FC 71 E9 96 F7 67 E6 BF ED | T:828544 RPD:0
[CH: 50] LEN: 12 | HEX: EA 76 F6 FF 76 ED 96 F5 51 9F BF 5E | T:828574 RPD:0
[CH: 50] LEN: 12 | HEX: EA 76 EE FE 77 ED 96 F6 8D 76 BF FF | T:828604 RPD:1
[CH: 50] LEN: 12 | HEX: EA 7E ED D8 75 FF 96 FB 24 91 BF 7B | T:828664 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 EE EE 77 B9 96 FD 49 63 BF DF | T:828724 RPD:1
[CH: 50] LEN: 12 | HEX: F6 76 EA F5 7C FD 96 FE BE 6D B7 77 | T:828754 RPD:1
[CH: 50] LEN: 12 | HEX: EA 76 F6 EC 71 FB 96 FF A0 88 BD FF | T:828784 RPD:1
[CH: 50] LEN: 12 | HEX: FA 76 EE F3 76 FD 96 FF 56 71 BF EF | T:828814 RPD:1
